Url,Title,Description,PriceList,Ratings,No of reiviewa
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_60?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-60,AirCase,13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack for Men & Women ,859,4.1 out of 5 stars,"1,395"
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0101/dp/B07G44G1DC/ref=sr_1_61?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-61,Gear,Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black ,893,4.4 out of 5 stars,"1,455"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_62?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-62,Safari,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU) ",899,4.1 out of 5 stars,374
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_63?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-63,ADISA,Laptop Backpack 31 Ltrs ,499,4.0 out of 5 stars,"8,340"
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_64?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-64,TRUE HUMAN,Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey) ,699,3.8 out of 5 stars,"1,244"
https://www.amazon.in/Fur-Jaden-Waterproof-Charging-BM30_Navy/dp/B07G4G3NPD/ref=sr_1_65?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-65,FUR JADEN,Navy Casual Backpack with USB Charging Port and 15.6 Inch Laptop Pocket ,599,3.9 out of 5 stars,"3,271"
https://www.amazon.in/Half-Moon-Travelling-Compartment-Polyester/dp/B09CGZ2W28/ref=sr_1_66?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-66,Half Moon,55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover (Polyester Navy) ,929,4.1 out of 5 stars,689
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B08PD87QWP/ref=sr_1_67?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-67,TRAWOC,"55L Travel Bag Front & Top Open Backpack for Hiking Trekking Camping, Rucksack with Rain Cover and Shoe Compartment SHK017, 1 Year Warranty ","1,587",4.4 out of 5 stars,"1,031"
https://www.amazon.in/Skybags-Brat-Polyester-Casual-backpack/dp/B0BBPPM33V/ref=sr_1_68?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-68,Skybags,Brat 22L Red Polyester Casual backpack ,549,4.2 out of 5 stars,"1,276"
https://www.amazon.in/Fur-Jaden-Backpack-Trekking-BM38_Brown/dp/B07LBMV4NR/ref=sr_1_69?pf_rd_i=13714205031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=6397156b-71ab-46c6-bf4d-6f38da49aa4c&pf_rd_r=25QGB0A506WAQBJMGXQT&pf_rd_s=merchandised-search-8&qid=1664029691&s=luggage&sr=1-69,FUR JADEN,Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket ,"1,479",4.0 out of 5 stars,553
